Campaign ID,Product Name,Category,Ad Spend (INR),Impressions,Clicks,Conversions,Revenue (INR),ROI,Campaign Date,Marketing Channel
CAMPAIGN00109,Shampoo,Personal Care,2812.67,287691,22442,2562,181044.16,63.37,27-01-2025,Instagram Ads
CAMPAIGN00110,Chocolate,Snacks,1151.01,178030,3927,140,66121.85,56.45,02-02-2025,Email Campaign
CAMPAIGN00111,Nuts,Snacks,3470.97,115626,4920,938,313963.36,89.45,28-12-2024,Referral
CAMPAIGN00112,Chips,Snacks,512.71,193196,13927,862,401593.99,782.28,08-02-2025,Google Ads
CAMPAIGN00113,Moisturizer,Personal Care,883.83,348604,32326,2186,958395.35,1083.37,23-12-2024,Instagram Ads
CAMPAIGN00114,Biscuits,Snacks,1260.95,288811,17446,3385,816968.73,646.9,07-01-2025,Referral
CAMPAIGN00115,Dishwasher Liquid,Household,208.58,155137,6125,365,156699.81,750.27,29-12-2024,Instagram Ads
CAMPAIGN00116,Air Freshener,Household,264.03,13539,1233,52,5815.15,21.02,03-02-2025,Instagram Ads
CAMPAIGN00117,Wheat Flour,Groceries,640.48,429370,3646,377,146161.08,227.21,01-01-2025,Influencer Marketing
CAMPAIGN00118,Garbage Bags,Household,4817.21,65175,1898,159,77067.2,15,08-12-2024,Referral
CAMPAIGN00119,Rice,Groceries,1787,133671,13172,499,198366.46,110.01,03-02-2025,Email Campaign
CAMPAIGN00120,Tea,Beverages,3931.22,479155,2198,254,21831.8,4.55,05-12-2024,Influencer Marketing
CAMPAIGN00121,Toothpaste,Personal Care,3558.16,105503,10025,684,174549.81,48.06,03-02-2025,Referral
CAMPAIGN00122,Air Freshener,Household,1282.98,4031,36,3,1368.61,0.07,03-12-2024,Google Ads
CAMPAIGN00123,Cooking Oil,Groceries,2915.15,91368,3703,561,199735.74,67.52,20-12-2024,Influencer Marketing
CAMPAIGN00124,Garbage Bags,Household,1868.16,28903,1738,265,125262.33,66.05,20-12-2024,Referral
CAMPAIGN00125,Nuts,Snacks,563.44,210984,15663,1542,621413.96,1101.89,11-12-2024,Influencer Marketing
CAMPAIGN00126,Air Freshener,Household,4851.5,84869,7887,669,147323.69,29.37,16-12-2024,Google Ads
CAMPAIGN00127,Shampoo,Personal Care,2903.31,453509,19391,1675,758046.3,260.1,05-12-2024,Email Campaign
CAMPAIGN00128,Dishwasher Liquid,Household,3783.68,173163,6562,551,253916.97,66.11,29-11-2024,Instagram Ads
CAMPAIGN00129,Toothpaste,Personal Care,2447.47,491313,5492,563,56191.17,21.96,19-11-2024,Instagram Ads
CAMPAIGN00130,Protein Bar,Snacks,1019.6,41976,2694,338,64976.58,62.73,07-02-2025,Referral
CAMPAIGN00131,Shampoo,Personal Care,4252.64,473183,17779,2016,588709.92,137.43,20-01-2025,Influencer Marketing
CAMPAIGN00132,Face Wash,Personal Care,3414.74,81903,7785,1194,189792.16,54.58,06-12-2024,Email Campaign
CAMPAIGN00133,Face Wash,Personal Care,1986.98,103496,2306,376,130616.25,64.74,28-11-2024,Referral
CAMPAIGN00134,Chocolate,Snacks,2303.32,11540,827,26,10072.67,3.37,03-01-2025,Referral
CAMPAIGN00135,Juice,Beverages,241.13,325189,21684,256,49356.91,203.69,19-12-2024,Email Campaign
CAMPAIGN00136,Eggs,Groceries,1378.01,30469,431,30,10633.46,6.72,25-11-2024,Referral
CAMPAIGN00137,Detergent,Household,3532.04,129631,903,135,50043.34,13.17,12-01-2025,Influencer Marketing
CAMPAIGN00138,Cooking Oil,Groceries,2223.06,191207,2573,445,44615.28,19.07,30-11-2024,Email Campaign
CAMPAIGN00139,Tea,Beverages,2124.43,275431,302,32,3222.55,0.52,09-12-2024,Instagram Ads
CAMPAIGN00140,Garbage Bags,Household,1419.94,200791,11288,708,249604.22,174.79,08-01-2025,Instagram Ads
CAMPAIGN00141,Cooking Oil,Groceries,4034.03,417384,6364,864,257660,62.87,09-02-2025,Referral
CAMPAIGN00142,Floor Cleaner,Household,3474.59,134058,11394,502,50138.22,13.43,21-12-2024,Instagram Ads
CAMPAIGN00143,Floor Cleaner,Household,3931.24,311049,22509,3628,1202063.95,304.77,02-02-2025,Influencer Marketing
CAMPAIGN00144,Nuts,Snacks,4475.64,242113,20685,1579,157981,34.3,30-12-2024,Instagram Ads
CAMPAIGN00145,Moisturizer,Personal Care,1756.35,198842,6844,115,27791.59,14.82,02-02-2025,Email Campaign
CAMPAIGN00146,Protein Bar,Snacks,1414.13,226593,916,83,38338.91,26.11,11-01-2025,Google Ads
CAMPAIGN00147,Moisturizer,Personal Care,1343.47,246836,21082,3062,984853.66,732.07,04-12-2024,Instagram Ads
CAMPAIGN00148,Cooking Oil,Groceries,1152.98,47824,3482,421,144147.33,124.02,12-12-2024,Email Campaign
CAMPAIGN00149,Milk,Groceries,3004.7,352286,17103,125,49934.03,15.62,05-12-2024,Instagram Ads
CAMPAIGN00150,Protein Bar,Snacks,3425.59,18290,1235,40,9018.42,1.63,24-11-2024,Influencer Marketing
CAMPAIGN00151,Garbage Bags,Household,3075.74,102800,5309,413,106182.98,33.52,14-11-2024,Email Campaign
CAMPAIGN00152,Garbage Bags,Household,4187.39,443125,42729,6987,2653158.49,632.61,30-01-2025,Email Campaign
CAMPAIGN00153,Face Wash,Personal Care,4765.94,18112,514,94,42149.3,7.84,31-12-2024,Email Campaign
CAMPAIGN00154,Cold Drink,Beverages,4811.54,437054,36250,5161,2498685.2,518.31,04-12-2024,Influencer Marketing
CAMPAIGN00155,Chips,Snacks,2706.54,213489,614,66,5568.84,1.06,26-11-2024,Instagram Ads
CAMPAIGN00156,Detergent,Household,1625.41,431471,37398,2895,550752.12,337.84,07-01-2025,Email Campaign
CAMPAIGN00157,Detergent,Household,2529.98,345362,21875,3615,1038380.42,409.43,30-01-2025,Google Ads
CAMPAIGN00158,Dishwasher Liquid,Household,967.23,326200,27757,5052,696830.71,719.44,03-12-2024,Email Campaign
CAMPAIGN00159,Energy Drink,Beverages,766.95,6044,192,30,11650.05,14.19,16-12-2024,Google Ads
CAMPAIGN00160,Shampoo,Personal Care,1649.51,412778,12954,866,342409.26,206.58,20-11-2024,Email Campaign
CAMPAIGN00161,Soap,Personal Care,3825.01,53538,449,26,8334.18,1.18,29-11-2024,Referral
CAMPAIGN00162,Cold Drink,Beverages,2975.13,129463,3721,155,15177.1,4.1,05-01-2025,Influencer Marketing
CAMPAIGN00163,Garbage Bags,Household,676.17,145651,2817,490,153362.83,225.81,17-01-2025,Referral
CAMPAIGN00164,Moisturizer,Personal Care,4314.05,151376,14064,1659,816310.29,188.22,13-01-2025,Email Campaign
CAMPAIGN00165,Eggs,Groceries,3318.14,106777,2569,311,61129.37,17.42,26-11-2024,Instagram Ads
CAMPAIGN00166,Eggs,Groceries,1003.27,277975,21067,754,96644.44,95.33,27-12-2024,Influencer Marketing
CAMPAIGN00167,Milk,Groceries,343.77,308544,8711,609,209629.46,608.8,01-01-2025,Referral
CAMPAIGN00168,Milk,Groceries,4058.16,235825,2805,225,16892.52,3.16,03-12-2024,Instagram Ads
CAMPAIGN00169,Toothpaste,Personal Care,3058.13,293880,21205,3029,522399.21,169.82,26-01-2025,Google Ads
CAMPAIGN00170,Garbage Bags,Household,2925.28,237684,3505,185,29086.88,8.94,24-12-2024,Google Ads
CAMPAIGN00171,Air Freshener,Household,1829.86,54892,735,124,24532.08,12.41,02-02-2025,Email Campaign
CAMPAIGN00172,Eggs,Groceries,4333.62,196799,12319,1879,680773.33,156.09,24-12-2024,Email Campaign
CAMPAIGN00173,Chocolate,Snacks,1679.77,11034,618,95,30050.32,16.89,31-12-2024,Google Ads
CAMPAIGN00174,Dishwasher Liquid,Household,4150.99,66819,6268,1181,515400.89,123.16,05-12-2024,Instagram Ads
CAMPAIGN00175,Cold Drink,Beverages,1815.67,199672,3084,322,127732.65,69.35,25-01-2025,Referral
CAMPAIGN00176,Detergent,Household,4503.31,465495,16685,259,45461.31,9.1,05-12-2024,Email Campaign
CAMPAIGN00177,Rice,Groceries,3024.29,236927,16290,712,324566.65,106.32,07-02-2025,Referral
CAMPAIGN00178,Moisturizer,Personal Care,3883.12,271611,20832,3514,1479386.1,379.98,03-01-2025,Google Ads
CAMPAIGN00179,Cooking Oil,Groceries,4403.91,352872,32405,3543,1159617.47,262.32,25-11-2024,Google Ads
CAMPAIGN00180,Juice,Beverages,765.11,14136,1057,42,19131.16,24,31-12-2024,Influencer Marketing
CAMPAIGN00181,Wheat Flour,Groceries,3866.47,196176,9106,1352,167084.69,42.21,18-11-2024,Referral
CAMPAIGN00182,Garbage Bags,Household,4637.99,347604,10615,1961,299790.06,63.64,25-01-2025,Instagram Ads
CAMPAIGN00183,Coffee,Beverages,3720.3,253854,18808,1024,479141.16,127.79,03-12-2024,Influencer Marketing
CAMPAIGN00184,Dishwasher Liquid,Household,3796.8,127021,5523,371,68445.27,17.03,13-01-2025,Google Ads
CAMPAIGN00185,Eggs,Groceries,2970.18,143272,106,14,1665.94,-0.44,27-11-2024,Instagram Ads
CAMPAIGN00186,Biscuits,Snacks,1687.16,110667,8698,124,56550.74,32.52,04-02-2025,Google Ads
CAMPAIGN00187,Milk,Groceries,517.17,84577,8340,453,25277.88,47.88,03-01-2025,Instagram Ads
CAMPAIGN00188,Garbage Bags,Household,4658.05,254023,7852,1516,666964.08,142.19,20-12-2024,Google Ads
CAMPAIGN00189,Face Wash,Personal Care,3106.17,318084,1674,245,89720.39,27.88,23-12-2024,Referral
CAMPAIGN00190,Biscuits,Snacks,3240.77,147792,12640,37,4401.19,0.36,30-12-2024,Google Ads
CAMPAIGN00191,Air Freshener,Household,3677.66,216240,14984,404,66069.93,16.97,11-12-2024,Influencer Marketing
CAMPAIGN00192,Soap,Personal Care,193.91,305399,22339,306,32020.28,164.13,24-01-2025,Google Ads
CAMPAIGN00193,Face Wash,Personal Care,853.59,272325,22361,1458,626340.67,732.77,13-11-2024,Referral
CAMPAIGN00194,Dishwasher Liquid,Household,167.59,52317,2716,357,165992.64,989.47,28-01-2025,Email Campaign
CAMPAIGN00195,Soap,Personal Care,584.88,448100,8180,1078,405123.33,691.66,23-01-2025,Influencer Marketing
CAMPAIGN00196,Eggs,Groceries,4790.16,368430,10801,1022,183830.1,37.38,19-01-2025,Instagram Ads
CAMPAIGN00197,Floor Cleaner,Household,2877.75,458406,39529,1252,181094.65,61.93,28-11-2024,Google Ads
CAMPAIGN00198,Juice,Beverages,1085.4,175814,9894,386,146494.25,133.97,22-11-2024,Referral
CAMPAIGN00199,Garbage Bags,Household,4056.33,168167,8173,1510,572113.47,140.04,20-11-2024,Google Ads
CAMPAIGN00200,Dishwasher Liquid,Household,352.36,51787,4256,741,182632.72,517.31,26-01-2025,Email Campaign
CAMPAIGN00201,Protein Bar,Snacks,3269.76,89492,6425,890,431522.36,130.97,16-12-2024,Google Ads
CAMPAIGN00202,Juice,Beverages,1984.2,3626,268,14,3432.92,0.73,06-02-2025,Influencer Marketing
CAMPAIGN00203,Garbage Bags,Household,3313.98,412379,7747,1319,604485.98,181.4,11-12-2024,Instagram Ads
CAMPAIGN00204,Juice,Beverages,207.16,425039,6769,898,152038.9,732.92,24-11-2024,Referral
CAMPAIGN00205,Chocolate,Snacks,1594.23,270576,14731,678,317619.93,198.23,13-12-2024,Email Campaign
CAMPAIGN00206,Chips,Snacks,347.62,65114,4074,772,182618.52,524.34,18-01-2025,Google Ads
CAMPAIGN00207,Dishwasher Liquid,Household,1247.65,346083,11655,1161,578066.91,462.32,09-02-2025,Influencer Marketing
CAMPAIGN00208,Rice,Groceries,1674.88,196468,5280,590,43931.25,25.23,01-12-2024,Influencer Marketing
CAMPAIGN00209,Biscuits,Snacks,826.95,313147,24402,162,19348.19,22.4,08-01-2025,Email Campaign
CAMPAIGN00210,Soap,Personal Care,4111.48,280258,11392,68,9402.61,1.29,26-01-2025,Email Campaign
CAMPAIGN00211,Chocolate,Snacks,852.97,475415,3862,50,15305.07,16.94,02-01-2025,Google Ads
CAMPAIGN00212,Biscuits,Snacks,4645.21,294351,26258,5132,1514462.25,325.03,24-11-2024,Email Campaign
CAMPAIGN00213,Energy Drink,Beverages,4764.99,128294,157,24,2640.91,-0.45,20-11-2024,Email Campaign
CAMPAIGN00214,Juice,Beverages,1208.41,231799,1605,130,63918.87,51.9,09-02-2025,Referral
CAMPAIGN00215,Air Freshener,Household,3246.41,407865,5703,667,96275.12,28.66,10-12-2024,Google Ads
CAMPAIGN00216,Biscuits,Snacks,1151.23,274479,4185,1,127.11,-0.89,02-01-2025,Influencer Marketing
CAMPAIGN00217,Juice,Beverages,509.4,267064,21850,1648,561800.61,1101.87,30-11-2024,Google Ads
CAMPAIGN00218,Soap,Personal Care,2393.21,192945,7953,204,81089.7,32.88,06-02-2025,Influencer Marketing
CAMPAIGN00219,Energy Drink,Beverages,4542.39,398288,9404,59,22017.34,3.85,24-01-2025,Google Ads
CAMPAIGN00220,Biscuits,Snacks,1195.51,481395,45560,7748,1533735.79,1281.91,04-01-2025,Email Campaign
CAMPAIGN00221,Protein Bar,Snacks,2793.51,421199,20728,215,42266,14.13,02-12-2024,Instagram Ads
CAMPAIGN00222,Eggs,Groceries,3474.83,420890,31292,5647,1962593.75,563.8,13-01-2025,Instagram Ads
CAMPAIGN00223,Eggs,Groceries,2473.75,61801,2229,273,100681.06,39.7,14-01-2025,Influencer Marketing
CAMPAIGN00224,Biscuits,Snacks,573.98,386515,7282,1431,612705.67,1066.47,20-11-2024,Influencer Marketing
CAMPAIGN00225,Energy Drink,Beverages,583.66,464556,30960,951,294037.56,502.78,07-01-2025,Email Campaign
CAMPAIGN00226,Milk,Groceries,2183.89,18040,1662,326,150692.83,68,24-12-2024,Influencer Marketing
CAMPAIGN00227,Face Wash,Personal Care,1463.59,76683,7274,201,49958.37,33.13,26-12-2024,Email Campaign
CAMPAIGN00228,Milk,Groceries,2334.72,26411,1343,234,78188.16,32.49,21-12-2024,Google Ads
CAMPAIGN00229,Cooking Oil,Groceries,911.68,386204,31316,2755,1068191.12,1170.67,20-01-2025,Google Ads
CAMPAIGN00230,Moisturizer,Personal Care,576.39,418363,1494,30,4710.87,7.17,09-12-2024,Influencer Marketing
CAMPAIGN00231,Tea,Beverages,748.08,394760,35641,4166,500849.26,668.51,20-01-2025,Google Ads
CAMPAIGN00232,Protein Bar,Snacks,2319.5,366996,30621,3135,361855.05,155.01,16-12-2024,Referral
CAMPAIGN00233,Moisturizer,Personal Care,2521.9,118582,9244,1500,114150.27,44.26,27-11-2024,Email Campaign
CAMPAIGN00234,Shampoo,Personal Care,3723.67,77030,5230,663,116034.06,30.16,29-11-2024,Referral
CAMPAIGN00235,Soap,Personal Care,4631.22,35017,836,28,5055.77,0.09,21-01-2025,Google Ads
CAMPAIGN00236,Rice,Groceries,1785.77,106936,8857,1620,572242.22,319.45,19-12-2024,Referral
CAMPAIGN00237,Moisturizer,Personal Care,3082.07,26884,2468,163,64073.71,19.79,25-12-2024,Email Campaign
CAMPAIGN00238,Cooking Oil,Groceries,1263.97,445213,16413,1959,326979.65,257.69,31-12-2024,Email Campaign
CAMPAIGN00239,Eggs,Groceries,2527.69,493902,39393,4510,1310331.72,517.39,21-11-2024,Influencer Marketing
